UID,MRR,HIT,NDCG
138534,0.05,1,0.227670248696953
47748,0.3333333333333333,1,0.5
44925,0.125,1,0.31546487678572877
175595,0.25,1,0.43067655807339306
142645,0.05,1,0.227670248696953
160568,0.0625,1,0.24465054211822604
35937,0.14285714285714285,1,0.3333333333333333
191226,0.05,1,0.227670248696953
111762,0.5,1,0.6309297535714575
167393,0.25,1,0.43067655807339306
42965,0.25,1,0.43067655807339306
86318,0.08333333333333333,1,0.27023815442731974
85304,0.0625,1,0.24465054211822604
45418,0.08333333333333333,1,0.27023815442731974
48802,0.07692307692307693,1,0.26264953503719357
184305,0.05,1,0.227670248696953
78910,0.16666666666666666,1,0.3562071871080222
197565,0.047619047619047616,1,0.22424382421757544
11225,0.08333333333333333,1,0.27023815442731974
131238,0.08333333333333333,1,0.27023815442731974
81863,0.07692307692307693,1,0.26264953503719357
176644,0.2,1,0.38685280723454163
29093,0.047619047619047616,1,0.22424382421757544
180140,0.05,1,0.227670248696953
48028,0.3333333333333333,1,0.5
14317,0.047619047619047616,1,0.22424382421757544
56680,0.047619047619047616,1,0.22424382421757544
60229,0.3333333333333333,1,0.5
98996,0.16666666666666666,1,0.3562071871080222
180501,0.125,1,0.31546487678572877
82425,0.05,1,0.227670248696953
185638,0.05,1,0.227670248696953
66003,0.08333333333333333,1,0.27023815442731974
143753,0.25,1,0.43067655807339306
173874,0.07692307692307693,1,0.26264953503719357
197461,0.09090909090909091,1,0.27894294565112987
49162,0.07142857142857142,1,0.2559580248098155
91368,0.14285714285714285,1,0.3333333333333333
78306,0.5,1,0.6309297535714575
35048,0.07142857142857142,1,0.2559580248098155
190466,0.5,1,0.6309297535714575
126281,0.07142857142857142,1,0.2559580248098155
61114,0.09090909090909091,1,0.27894294565112987
34972,0.058823529411764705,1,0.23981246656813146
14696,0.125,1,0.31546487678572877
197080,0.1,1,0.2890648263178879
145672,0.09090909090909091,1,0.27894294565112987
40737,0.07142857142857142,1,0.2559580248098155
102058,0.125,1,0.31546487678572877
27074,0.25,1,0.43067655807339306
53676,0.2,1,0.38685280723454163
143382,0.05555555555555555,1,0.23540891336663824
155619,0.1,1,0.2890648263178879
164565,0.05555555555555555,1,0.23540891336663824
27403,0.16666666666666666,1,0.3562071871080222
118222,0.5,1,0.6309297535714575
103759,0.1111111111111111,1,0.3010299956639812
7777,0.16666666666666666,1,0.3562071871080222
2233,0.08333333333333333,1,0.27023815442731974
35120,0.1,1,0.2890648263178879
20564,0.14285714285714285,1,0.3333333333333333
176229,0.0625,1,0.24465054211822604
151192,0.05,1,0.227670248696953
147764,0.047619047619047616,1,0.22424382421757544
66387,0.047619047619047616,1,0.22424382421757544
55637,1.0,1,1.0
69191,0.3333333333333333,1,0.5
53988,0.5,1,0.6309297535714575
117323,0.05263157894736842,1,0.23137821315975915
136525,0.3333333333333333,1,0.5
